Table 6
Relative Radial Velocity Measurements of KOI-72

HJD	RV	sigma_RV	
(-2450000)	(m s^-1)	(m s^-1)	
5074.878	4.06	1.6	
5075.773	6.83	1.5	
5076.863	0.40	1.5	
5077.923	-6.36	1.5	
5078.922	1.76	1.7	
5079.973	-2.41	1.7	
5080.896	5.34	1.5	
5081.969	-7.16	1.5	
5082.848	-8.50	1.5	
5083.761	3.27	1.4	
5083.945	-2.27	1.6	
5084.878	1.17	1.4	
5106.890	-0.14	1.7	
5169.725	1.58	0.9	
5170.725	-3.00	1.1	
5172.756	5.05	1.6	
5173.721	4.90	1.1	
5312.047	-2.68	1.6	
5313.004	-5.29	1.5	
5314.005	-9.82	1.6	
5317.998	3.92	1.7	
5318.121	-0.70	1.5	
5319.027	-5.43	1.6	
5320.063	1.44	1.5	
5321.007	0.97	1.6	
5321.969	1.61	1.5	
5343.050	-4.01	1.5	
5344.032	-4.93	1.5	
5344.973	-4.08	1.3	
5345.068	-2.08	1.7	
5350.973	0.56	1.6	
5351.988	0.88	1.4	
5373.814	-0.19	1.6	
5376.865	-0.38	1.4	
5379.902	1.78	1.7	
5403.898	0.66	1.4	
5407.013	-3.80	1.5	
5411.986	-3.83	1.4	
5412.805	-4.36	1.2	
5414.803	-1.20	1.5	
